energy,liveness,tempo,speechiness,acousticness,instrumentalness,time_signature,danceability,key,duration_ms,loudness,valence,mode,uri,name,artist
0.631,0.545,99.905,0.398,0.528,3.23e-06,4,0.683,10,140400,-8.221,0.245,0,spotify:track:3s4Wm1hopOmLWiBt39i1Al,Five O,Hoke
0.556,0.0796,95.92,0.366,0.696,0.00259,4,0.609,7,182500,-10.081,0.62,1,spotify:track:4tNGl7OIYRcky03Mn3E7bj,Chorbo Real,Hoke
0.54,0.139,132.709,0.0738,0.463,0.937,3,0.203,5,222839,-12.594,0.115,0,spotify:track:2iI556oF2qwtac9r1RzrXo,The Call,League of Legends
0.345,0.182,92.502,0.029,0.744,6.01e-06,4,0.336,5,277267,-6.456,0.0756,0,spotify:track:2OdpZeTpnbqPqBrclk2pib,Vor í Vaglaskógi,KALEO
0.847,0.0816,171.447,0.186,0.0622,0.0,4,0.548,1,297787,-3.237,0.1,1,spotify:track:4xkOaSrkexMciUUogZKVTS,Till I Collapse,Eminem
0.618,0.123,90.009,0.195,0.679,0.0205,4,0.709,2,154666,-6.903,0.461,1,spotify:track:7ATdQXyiiOhnIfuj3RtQiC,Automático,Hoke
0.632,0.145,102.904,0.0668,0.0967,0.000367,1,0.265,7,201606,-9.835,0.202,0,spotify:track:4vvLC50if1kVOemsm7gjcJ,Burn,2WEI
0.755,0.157,73.998,0.0383,0.106,0.000607,4,0.529,10,265558,-3.917,0.383,0,spotify:track:3BsoE7SgveujY2jeV2rVRw,Break My Baby,KALEO
0.691,0.232,99.997,0.0374,0.00328,0.123,4,0.733,2,177612,-8.198,0.179,1,spotify:track:1X1MpXPKAaqH0VAr2N18xR,Petrunko,egopium
0.71,0.0899,132.017,0.306,0.82,0.228,5,0.637,9,121212,-5.985,0.494,1,spotify:track:6mQGOlMMCOMww9wMglS9FB,TT,Hoke
0.782,0.44,76.984,0.289,0.21,0.0,4,0.724,2,173381,-4.437,0.528,1,spotify:track:4qXKkOZ691yYgQu4Lunrds,Enemy feat. J.I.D. (from the series Arcane League of Legends),Imagine Dragons
0.453,0.0848,126.043,0.39,0.131,0.0002,4,0.658,9,153960,-7.378,0.358,0,spotify:track:3GaGWoU1KfVqgl7vnRHP55,Demasiadas Mujeres,C. Tangana
0.973,0.386,148.044,0.0504,0.000544,0.0139,4,0.507,9,169655,-3.773,0.756,1,spotify:track:24SyVpif5eshcNmLKdvOcj,Life's Coming in Slow - from GRAN TURISMO 7,Nothing But Thieves
0.669,0.114,133.887,0.282,0.517,2.49e-05,4,0.772,8,207313,-6.107,0.858,0,spotify:track:1fyCvJYDqc6ieWbvf0k1Vy,Jjjj,Hoke
0.741,0.31,85.076,0.0411,0.0228,0.000164,4,0.484,2,222317,-5.298,0.137,1,spotify:track:2C4jYVZId6mxISa3HrBvGM,Skinny,KALEO
0.978,0.0731,135.095,0.131,0.111,0.0,4,0.554,4,162600,-3.554,0.594,1,spotify:track:7AB0cUXnzuSlAnyHOqmrZr,Faint,Linkin Park
0.757,0.0524,104.973,0.0656,0.195,0.000228,4,0.705,6,187053,-5.608,0.737,0,spotify:track:3SK45LddxlEkzI8OWO9Eyo,Ingobernable,C. Tangana
0.669,0.13,133.931,0.134,0.382,0.000423,4,0.861,11,152239,-6.806,0.776,0,spotify:track:7cGa3beFdDoIzys3xMDV1G,Olympique,Hoke
0.145,0.189,83.752,0.029,0.725,1.09e-05,4,0.403,7,248785,-12.89,0.264,1,spotify:track:2SYQndgkrneBJBd7VvOeJ2,I Want More - Live at Skálholt,KALEO
0.882,0.156,104.85,0.0862,0.0043,2.52e-06,4,0.514,7,209061,-4.406,0.424,1,spotify:track:6hIr2IDeBDXfRFk0rYe5Tz,Won’t Stand Down,Muse
0.837,0.209,81.536,0.23,0.125,0.0,4,0.789,10,200337,-3.247,0.476,1,spotify:track:6bQ5823aHmFVKLZW8E7rRo,Si Quieren Frontear,Duki
0.802,0.94,143.966,0.437,0.364,0.0885,4,0.661,10,66661,-8.937,0.614,0,spotify:track:6YzSVEItKYue0f3ZEJyyQL,Speedrun Skit,Hoke
0.704,0.088,110.028,0.0344,0.0741,0.0,4,0.748,5,284799,-4.512,0.823,0,spotify:track:4aPeeN8IYOCMNBGI0p7169,Hey Gringo,KALEO
0.638,0.0822,164.079,0.0809,0.00409,0.0,4,0.531,11,236898,-5.145,0.445,0,spotify:track:0AOmbw8AwDnwXhHC3OhdVB,Courtesy Call,Thousand Foot Krutch
0.786,0.127,153.068,0.306,0.0627,0.0,4,0.876,10,244679,-4.884,0.575,0,spotify:track:60SdxE8apGAxMiRrpbmLY0,Lucky You (feat. Joyner Lucas),Eminem
0.522,0.146,170.993,0.0829,0.81,0.0,4,0.433,5,92956,-9.323,0.19,0,spotify:track:3Y7D0PYm4F50C3LaBqZAr7,Santo,Hoke
0.925,0.18,108.525,0.185,0.0234,0.00062,4,0.378,9,234240,-3.781,0.584,1,spotify:track:0Tr5G2mE56eLUGvCaXRM8I,No Good,KALEO
0.854,0.0905,150.621,0.221,0.0475,0.0,4,0.737,3,166080,-6.414,0.65,0,spotify:track:17N5FdRwJuv3UXQ7MHnbhF,Ballin,Logic
0.91,0.0857,95.943,0.122,0.25,0.0,4,0.527,0,258542,-2.659,0.329,1,spotify:track:4F4bzCA8RWoyKQDfeFGolM,"Paulo Londra: Bzrp Music Sessions, Vol. 23",Bizarrap
0.828,0.0581,123.257,0.0298,0.00213,0.0114,4,0.577,6,331267,-8.691,0.604,0,spotify:track:5sICkBXVmaCQk5aISGR3x1,Enter Sandman,Metallica
0.642,0.279,123.969,0.0657,0.00791,3.62e-05,4,0.927,10,190883,-4.466,0.901,0,spotify:track:7sA2SKTo1QbTSSYn5YvJC4,Sharks,Imagine Dragons
0.911,0.333,91.033,0.0422,0.000141,8.89e-06,4,0.544,10,218521,-3.681,0.558,0,spotify:track:2ib8fuTavdc48X6MjhE4Ft,ZOMBIFIED,Falling In Reverse
0.934,0.104,153.802,0.117,2.9e-05,0.000663,4,0.446,11,171429,-5.631,0.337,1,spotify:track:0tobjNbP51FMlEUslgm9CR,Enemy,Our Last Night
0.982,0.934,94.024,0.128,0.0268,1.01e-06,4,0.428,7,242247,-3.199,0.375,0,spotify:track:4nOsnnEnpvHx49mkCx0Omu,"High Voltage (Live at Docklands Arena, London) - LPU Rarities",Linkin Park
0.742,0.0754,114.071,0.046,0.0206,0.0,4,0.773,5,165265,-3.678,0.571,0,spotify:track:0HqZX76SFLDz2aW8aiqi7G,Bones,Imagine Dragons
0.886,0.26,126.025,0.0837,0.00045,0.0,4,0.603,5,229933,-3.777,0.395,0,spotify:track:0i8JFpqe9cKwnrcvoNgl1L,Feel Invincible,Skillet
0.882,0.0764,154.029,0.159,0.00158,0.00206,4,0.51,8,216721,-5.659,0.653,0,spotify:track:0AUyNF6iFxMNQsNx2nhtrw,Blood // Water,grandson
0.656,0.0923,174.988,0.0813,0.208,0.0,3,0.594,7,221203,-5.628,0.241,0,spotify:track:1eg8EWKfaRltn806sZvuDa,Mal Agüero,Delaossa
0.446,0.337,123.596,0.0683,0.0039,0.118,4,0.743,4,232107,-7.807,0.278,0,spotify:track:3dPQuX8Gs42Y7b454ybpMR,Seven Nation Army,The White Stripes
0.793,0.582,107.045,0.166,0.0603,0.0,4,0.687,2,205733,-4.254,0.751,1,spotify:track:5sNESr6pQfIhL3krM8CtZn,Numb / Encore,JAY-Z
0.718,0.159,77.972,0.0541,0.359,2.23e-05,4,0.671,10,246154,-5.385,0.145,0,spotify:track:3o0dhbe6LWvyUXjr2IyQiv,Piratas,Natos y Waor
0.837,0.397,102.348,0.193,0.00215,0.259,4,0.629,1,193097,-6.168,0.183,0,spotify:track:5DCoEMp11agB2Y0YzjwnQP,Dernière Danse - Slowed,slowo
0.939,0.424,102.999,0.0669,0.00138,0.0,4,0.625,4,194787,-3.115,0.644,0,spotify:track:776AftMmFFAWUIEAb3lHhw,ZITTI E BUONI,Måneskin
0.854,0.377,105.1,0.133,0.247,0.0,4,0.827,2,176000,-3.508,0.462,1,spotify:track:2SxaA6dhE2lEP1faOFPCu8,Greatest,NEFFEX
0.967,0.336,142.018,0.0995,0.00791,0.0,4,0.533,1,186813,-2.543,0.782,1,spotify:track:4CbKVDZkYKdv69I4bCaKUq,Hero,Skillet
0.756,0.137,180.25,0.0817,0.193,0.862,3,0.337,10,186938,-5.499,0.133,1,spotify:track:5nyef8bHyXaglyArVUNlre,Deadwood,Really Slow Motion
0.531,0.0509,98.014,0.0309,0.256,0.0,4,0.55,8,212393,-7.431,0.364,1,spotify:track:7gxohd4hHPmDIvE9HohJsI,I Want More,KALEO
0.946,0.0825,139.943,0.261,0.094,6.63e-05,4,0.716,1,200571,-3.412,0.587,1,spotify:track:6KigD0mlF4VGDYiSEzAyYw,Fight Back,NEFFEX
