valence,year,acousticness,artists,danceability,duration_ms,energy,explicit,id,instrumentalness,key,liveness,loudness,mode,name,popularity,release date,speechiness,tempo
0.569,2020,0.208,['The Neighbourhood'],0.578,234093,0.386,False,7IL8PSVwLOJxqYne6azxQv,0.0453,6,0.307,-11.464,1,Pretty Boy,78,2020-09-25,0.0278,154.902
0.612,2020,0.125,['Pop Smoke'],0.548,127547,0.732,True,792HwhrdO3ErRKL5yRe4Ge,0,11,0.269,-5.652,0,Invincible,80,2020-02-07,0.336,142.791
0.45,2020,0.838,['Taylor Swift'],0.653,252881,0.452,False,6VsvKPJ4xjVNKpI8VVZ3SV,7.73e-05,4,0.108,-11.143,0,invisible string,76,2020-07-24,0.055,83.433
0.195,2020,0.00815,['Pop Smoke'],0.688,164580,0.647,True,25zlnOAzbVoOzIeXSvQFf1,1.65e-05,2,0.095,-7.258,1,Got It On Me,77,2020-07-03,0.19,88.834
0.457,2020,0.00786,['Ava Max'],0.637,162399,0.69,False,7a53HqqArd4b9NF4XAmlbI,0,1,0.124,-4.057,0,Kings & Queens,82,2020-09-18,0.0405,129.857
0.416,2020,0.442,['Tems'],0.562,247579,0.463,False,2mzM4Y0Rnx2BDZqRnhQ5Q6,0.000145,6,0.157,-7.478,1,Free Mind,75,2020-09-25,0.0787,125.15
0.62,2020,0.0684,['Ava Max'],0.72,187436,0.706,False,7DnAm9FOTWE3cUvso43HhI,0,1,0.166,-4.719,1,Sweet but Psycho,82,2020-09-18,0.0473,133.002
0.126,2020,0.00237,"['Rosa Walton', 'Hallie Coggins']",0.49,246653,0.738,False,7mykoq6R3BArsSpNDjFQTm,4.58e-06,3,0.0851,-7.399,0,I Really Want to Stay at Your House,79,2020-12-18,0.0367,124.966
0.412,2020,0.314,['Taylor Swift'],0.515,195097,0.476,False,7kt9e9LFSpN1zQtYEl19o1,4.74e-05,9,0.171,-9.843,1,this is me trying,77,2020-07-24,0.0328,135.886
0.335,2020,0.744,"['Summer Walker', 'NO1-NOAH']",0.791,211373,0.366,True,5m0eMnsWwzgGsUxe1mhFYR,7.24e-06,1,0.106,-8.337,1,White Tee (with NO1-NOAH),78,2020-07-10,0.0966,124.878
0.0663,2020,0.248,['Don Toliver'],0.747,158709,0.497,False,0Li1OuXXfi7950ilZUFGkF,0,4,0.138,-6.542,0,Cardigan,76,2020-03-13,0.0401,142.046
0.433,2020,0.439,['Juice WRLD'],0.745,168685,0.5,True,21CkzgKCBCq5V4XKjiGSIj,0,8,0.0943,-6.184,1,Stay High,75,2020-07-10,0.135,76.968
0.485,2020,0.237,['Ariana Grande'],0.83,173711,0.585,True,6Im9k8u9iIzKMrmV7BWtlF,0,0,0.248,-6.476,1,34+35,81,2020-10-30,0.094,109.978
0.737,2020,0.0112,['BTS'],0.746,199054,0.765,False,5QDLhrAOJJdNAmCTJ8xMyW,0,6,0.0936,-4.41,0,Dynamite,83,2020-11-20,0.0993,114.044
0.52,2020,0.996,['Adelmar Borrego'],0.443,100562,0.0248,False,147gCksvDRmjG1pO51ZCcf,0.967,11,0.12,-25.351,1,"Twinkle, Twinkle, Little Star",78,2020-01-31,0.0622,68.123
0.902,2020,0.00167,['Beach Bunny'],0.637,147351,0.929,False,6vFsBXYczYsP0H3lgunZOm,2.62e-05,4,0.344,-3.593,1,Cloud 9,78,2020-02-14,0.0491,80.974
